nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
35,1.0,73,0.0,0.0,0.0,41954.3953184577,83908.7909698298,125863.18628828699,167817.58193966,209771.977258117,251726.37290948897,293680.768227947,0.0
58,1.0,96,0.0,0.0,0.0,27304.018072104504,54608.0363608704,81912.05443297481,109216.072721741,136520.090793845,163824.109082611,191128.12715471603,0.0
46,1.0,84,0.0,0.0,0.0,44295.0514942605,88590.1033400088,132885.154834269,177180.20668001802,221475.25817427802,265770.310020026,310065.361514287,0.0
57,1.0,95,0.0,0.0,0.0,119697.734340515,239395.469630849,359093.203971364,478790.939261698,598488.673602212,718186.408892547,837884.143233061,0.0
37,1.0,75,0.0,0.0,0.0,102043.01607012199,204086.03294997,306129.049020092,408172.065899941,510215.081970063,612258.098849911,714301.114920033,0.0
38,1.0,76,0.0,0.0,0.0,171168.081770544,342336.16489933303,513504.24666987703,684672.329798665,855840.4115692091,1027008.4946979999,1198176.57646854,0.0
39,1.0,77,0.0,0.0,0.0,497561.89925887797,995123.802465985,1492685.70172486,1990247.60493197,2487809.50419085,2985371.40739795,3482933.30665683,0.0
40,1.0,78,0.0,0.0,0.0,123721.58393119801,247443.168844145,371164.75277534296,494886.33768829,618607.9216194879,742329.506532435,866051.090463633,0.0
41,1.0,79,0.0,0.0,0.0,297382.592910685,594765.188181145,892147.78109183,1189530.37636229,1486912.96927297,1784295.56454343,2081678.15745412,0.0
43,1.0,81,0.0,0.0,0.0,244801.253747381,489602.509437297,734403.7631846791,979205.018874595,1224006.27262198,1468807.52831189,1713608.78205927,0.0
44,1.0,82,0.0,0.0,0.0,9302.12897384604,18604.258021505902,27906.3869953519,37208.516043011696,46510.6450168578,55812.774064517595,65114.9030383637,0.0
45,1.0,83,0.0,0.0,0.0,349891.314153014,699782.631082467,1049673.94523548,1399565.26216493,1749456.57631795,2099347.8932474,2449239.20740042,0.0
42,1.0,80,0.0,0.0,0.0,24753.5733510906,49507.1468986045,74260.72024969509,99014.2937972091,123767.8671483,148521.440695814,173275.014046904,0.0
47,1.0,85,0.0,0.0,0.0,379769.55486626294,759539.112746055,1139308.66761232,1519078.22549211,1898847.78035837,2278617.33823817,2658386.89310443,0.0
49,1.0,87,0.0,0.0,0.0,141653.6133317,283307.22778744396,424960.841119144,566614.455574887,708268.068906588,849921.6833623309,991575.296694031,0.0
50,1.0,88,0.0,0.0,0.0,117172.33792266,234344.67677510102,351517.01469776104,468689.35355020204,585861.691472862,703034.030325302,820206.368247963,0.0
51,1.0,89,0.0,0.0,0.0,511375.237327645,1022750.47871313,1534125.71604077,2045500.95742626,2556876.1947538997,3068251.43613939,3579626.67346703,0.0
52,1.0,90,0.0,0.0,0.0,289973.031265343,579946.0648316661,869919.096097009,1159892.12966333,1449865.16092867,1739838.1944950002,2029811.22576034,0.0
53,1.0,91,0.0,0.0,0.0,138599.153011504,277198.307122813,415797.46013431705,554396.614245626,692995.76725713,831594.9213684391,970194.074379943,0.0
54,1.0,92,0.0,0.0,0.0,171776.967652379,343553.936667833,515330.904320212,687107.8733356671,858884.8409880459,1030661.8100035,1202438.77765588,0.0
