nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
52,0,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,193,0.0,0.0,15209.55,15209.55,15209.55,15209.55,15209.55,15209.55,15209.55,15209.55,0.0
9,3,194,0.0,0.0,47961.0,47961.0,47961.0,47961.0,47961.0,47961.0,47961.0,47961.0,0.0
10,3,195,0.0,0.0,47643.45,47643.45,47643.45,47643.45,47643.45,47643.45,47643.45,47643.45,0.0
11,3,196,0.0,0.0,72277.3,72277.3,72277.3,72277.3,72277.3,72277.3,72277.3,72277.3,0.0
12,3,197,0.0,0.0,241626.35,241626.35,241626.35,241626.35,241626.35,241626.35,241626.35,241626.35,0.0
13,3,198,0.0,0.0,68452.1,68452.1,68452.1,68452.1,68452.1,68452.1,68452.1,68452.1,0.0
14,3,199,0.0,0.0,134695.95,134695.95,134695.95,134695.95,134695.95,134695.95,134695.95,134695.95,0.0
15,3,200,0.0,0.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,7300.0,0.0
16,3,201,0.0,0.0,73054.75,73054.75,73054.75,73054.75,73054.75,73054.75,73054.75,73054.75,0.0
17,3,202,0.0,0.0,1598.7,1598.7,1598.7,1598.7,1598.7,1598.7,1598.7,1598.7,0.0
18,3,203,0.0,0.0,156530.25,156530.25,156530.25,156530.25,156530.25,156530.25,156530.25,156530.25,0.0
19,3,204,0.0,0.0,15625.65,15625.65,15625.65,15625.65,15625.65,15625.65,15625.65,15625.65,0.0
23,3,205,0.0,0.0,153453.3,153453.3,153453.3,153453.3,153453.3,153453.3,153453.3,153453.3,0.0
24,3,206,0.0,0.0,134849.25,134849.25,134849.25,134849.25,134849.25,134849.25,134849.25,134849.25,0.0
25,3,207,0.0,0.0,72094.8,72094.8,72094.8,72094.8,72094.8,72094.8,72094.8,72094.8,0.0
26,3,208,0.0,0.0,31061.5,31061.5,31061.5,31061.5,31061.5,31061.5,31061.5,31061.5,0.0
27,3,209,0.0,0.0,186029.55,186029.55,186029.55,186029.55,186029.55,186029.55,186029.55,186029.55,0.0
28,3,210,0.0,0.0,100473.55,100473.55,100473.55,100473.55,100473.55,100473.55,100473.55,100473.55,0.0
29,3,211,0.0,0.0,41464.0,41464.0,41464.0,41464.0,41464.0,41464.0,41464.0,41464.0,0.0
30,3,212,0.0,0.0,73934.4,73934.4,73934.4,73934.4,73934.4,73934.4,73934.4,73934.4,0.0
31,3,213,0.0,0.0,6248.8,6248.8,6248.8,6248.8,6248.8,6248.8,6248.8,6248.8,0.0
32,3,214,0.0,0.0,17947.05,17947.05,17947.05,17947.05,17947.05,17947.05,17947.05,17947.05,0.0
33,3,215,0.0,0.0,38609.7,38609.7,38609.7,38609.7,38609.7,38609.7,38609.7,38609.7,0.0
34,3,216,0.0,0.0,7391.25,7391.25,7391.25,7391.25,7391.25,7391.25,7391.25,7391.25,0.0
35,4,217,0.0,0.0,0.0,4305.435719,8610.871437,12916.30716,17221.74284,21527.17856,25832.61428,30138.05,0.0
36,4,218,0.0,0.0,0.0,19243.84288,38487.68575,57731.52863,76975.37137,96219.21425,115463.0571,134706.9,0.0
37,4,219,0.0,0.0,0.0,13697.40716,27394.81431,41092.22147,54789.62853,68487.03569,82184.44284,95881.85,0.0
38,4,220,0.0,0.0,0.0,31728.40717,63456.81435,95185.22152,126913.6285,158642.0357,190370.4428,222098.85,0.0
39,4,221,0.0,0.0,0.0,90537.20723,181074.4145,271611.6217,362148.8283,452686.0355,543223.2428,633760.45,0.0
40,4,222,0.0,0.0,0.0,45171.35719,90342.71438,135514.0716,180685.4284,225856.7856,271028.1428,316199.5,0.0
41,4,223,0.0,0.0,0.0,72340.39293,144680.7859,217021.1788,289361.5712,361701.9641,434042.3571,506382.75,0.0
42,4,224,0.0,0.0,0.0,2994.564289,5989.128577,8983.692866,11978.25713,14972.82142,17967.38571,20961.95,0.0
43,4,225,0.0,0.0,0.0,68478.1715,136956.343,205434.5145,273912.6855,342390.857,410869.0285,479347.2,0.0
44,4,226,0.0,0.0,0.0,5832.178577,11664.35715,17496.53573,23328.71427,29160.89285,34993.07142,40825.25,0.0
45,4,227,0.0,0.0,0.0,72345.60722,144691.2144,217036.8216,289382.4284,361728.0356,434073.6428,506419.25,0.0
46,4,228,0.0,0.0,0.0,16999.09287,33998.18575,50997.27862,67996.37138,84995.46425,101994.5571,118993.65,0.0
47,4,229,0.0,0.0,0.0,24920.11431,49840.22862,74760.34293,99680.45707,124600.5714,149520.6857,174440.8,0.0
48,4,230,0.0,0.0,0.0,18279.20002,36558.40004,54837.60005,73116.79995,91395.99996,109675.2,127954.4,0.0
49,4,231,0.0,0.0,0.0,14418.54287,28837.08574,43255.62861,57674.17139,72092.71426,86511.25713,100929.8,0.0
50,4,232,0.0,0.0,0.0,5497.942863,10995.88573,16493.82859,21991.77141,27489.71427,32987.65714,38485.6,0.0
51,4,233,0.0,0.0,0.0,34326.68575,68653.3715,102980.0572,137306.7428,171633.4285,205960.1143,240286.8,0.0
52,4,234,0.0,0.0,0.0,27097.0786,54194.1572,81291.2358,108388.3142,135485.3928,162582.4714,189679.55,0.0
53,4,235,0.0,0.0,0.0,7365.178579,14730.35716,22095.53574,29460.71426,36825.89284,44191.07142,51556.25,0.0
54,4,236,0.0,0.0,0.0,23121.18574,46242.37147,69363.55721,92484.74279,115605.9285,138727.1143,161848.3,0.0
55,4,237,0.0,0.0,0.0,1239.957144,2479.914288,3719.871432,4959.828568,6199.785712,7439.742856,8679.7,0.0
56,4,238,0.0,0.0,0.0,7761.464293,15522.92859,23284.39288,31045.85712,38807.32141,46568.78571,54330.25,0.0
57,4,239,0.0,0.0,0.0,9459.235724,18918.47145,28377.70717,37836.94283,47296.17855,56755.41428,66214.65,0.0
58,4,240,0.0,0.0,0.0,4529.650005,9059.300009,13588.95001,18118.59999,22648.24999,27177.9,31707.55,0.0
35,5,241,0.0,0.0,0.0,4305.435719,8610.871437,12916.30716,17221.74284,21527.17856,25832.61428,30138.05,0.0
36,5,242,0.0,0.0,0.0,19243.84288,38487.68575,57731.52863,76975.37137,96219.21425,115463.0571,134706.9,0.0
37,5,243,0.0,0.0,0.0,13697.40716,27394.81431,41092.22147,54789.62853,68487.03569,82184.44284,95881.85,0.0
38,5,244,0.0,0.0,0.0,31728.40717,63456.81435,95185.22152,126913.6285,158642.0357,190370.4428,222098.85,0.0
39,5,245,0.0,0.0,0.0,90537.20723,181074.4145,271611.6217,362148.8283,452686.0355,543223.2428,633760.45,0.0
40,5,246,0.0,0.0,0.0,45171.35719,90342.71438,135514.0716,180685.4284,225856.7856,271028.1428,316199.5,0.0
41,5,247,0.0,0.0,0.0,72340.39293,144680.7859,217021.1788,289361.5712,361701.9641,434042.3571,506382.75,0.0
42,5,248,0.0,0.0,0.0,2994.564289,5989.128577,8983.692866,11978.25713,14972.82142,17967.38571,20961.95,0.0
43,5,249,0.0,0.0,0.0,68478.1715,136956.343,205434.5145,273912.6855,342390.857,410869.0285,479347.2,0.0
44,5,250,0.0,0.0,0.0,5832.178577,11664.35715,17496.53573,23328.71427,29160.89285,34993.07142,40825.25,0.0
45,5,251,0.0,0.0,0.0,72345.60722,144691.2144,217036.8216,289382.4284,361728.0356,434073.6428,506419.25,0.0
46,5,252,0.0,0.0,0.0,16999.09287,33998.18575,50997.27862,67996.37138,84995.46425,101994.5571,118993.65,0.0
47,5,253,0.0,0.0,0.0,24920.11431,49840.22862,74760.34293,99680.45707,124600.5714,149520.6857,174440.8,0.0
48,5,254,0.0,0.0,0.0,18279.20002,36558.40004,54837.60005,73116.79995,91395.99996,109675.2,127954.4,0.0
49,5,255,0.0,0.0,0.0,14418.54287,28837.08574,43255.62861,57674.17139,72092.71426,86511.25713,100929.8,0.0
50,5,256,0.0,0.0,0.0,5497.942863,10995.88573,16493.82859,21991.77141,27489.71427,32987.65714,38485.6,0.0
51,5,257,0.0,0.0,0.0,34326.68575,68653.3715,102980.0572,137306.7428,171633.4285,205960.1143,240286.8,0.0
52,5,258,0.0,0.0,0.0,27097.0786,54194.1572,81291.2358,108388.3142,135485.3928,162582.4714,189679.55,0.0
53,5,259,0.0,0.0,0.0,7365.178579,14730.35716,22095.53574,29460.71426,36825.89284,44191.07142,51556.25,0.0
54,5,260,0.0,0.0,0.0,23121.18574,46242.37147,69363.55721,92484.74279,115605.9285,138727.1143,161848.3,0.0
55,5,261,0.0,0.0,0.0,1239.957144,2479.914288,3719.871432,4959.828568,6199.785712,7439.742856,8679.7,0.0
56,5,262,0.0,0.0,0.0,7761.464293,15522.92859,23284.39288,31045.85712,38807.32141,46568.78571,54330.25,0.0
57,5,263,0.0,0.0,0.0,9459.235724,18918.47145,28377.70717,37836.94283,47296.17855,56755.41428,66214.65,0.0
58,5,264,0.0,0.0,0.0,4529.650005,9059.300009,13588.95001,18118.59999,22648.24999,27177.9,31707.55,0.0
59,0,337,0.0,0.0,2490.904374,2346.077143,2201.249911,2056.42268,1911.595449,1896.91107,1882.226692,1867.542314,0.0
60,0,338,0.0,0.0,9812.641603,9242.110783,8671.579963,8101.049143,7530.518323,7472.670843,7414.823362,7356.975881,0.0
61,0,339,0.0,0.0,7552.417495,7113.301595,6674.185695,6235.069796,5795.953896,5751.430887,5706.907879,5662.384871,0.0
62,0,340,0.0,0.0,15806.70755,14887.66718,13968.6268,13049.58643,12130.54605,12037.36235,11944.17866,11850.99496,0.0
63,0,341,0.0,0.0,24928.65661,23479.24396,22029.8313,20580.41865,19131.006,18984.04659,18837.08719,18690.12778,0.0
