pp_id,pp,nd_id,fl_id,pt_id,set_def_pr,set_def_cain,set_def_ror,set_def_pp,set_def_st,set_def_hyrs,set_def_chp,set_def_add,set_def_rem,set_def_sll,set_def_curt,set_def_lin,set_def_scen,set_def_winsol,set_def_tr,set_def_peak
244,SFH_URB_HT_3_HP_WW,58,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
245,MFH_RUR_HT_0_STO_HT,35,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
246,MFH_RUR_HT_1_STO_HT,36,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,MFH_RUR_HT_2_STO_HT,37,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
248,MFH_RUR_HT_3_STO_HT,38,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,MFH_SUB_HT_0_STO_HT,39,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250,MFH_SUB_HT_1_STO_HT,40,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
251,MFH_SUB_HT_2_STO_HT,41,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
252,MFH_SUB_HT_3_STO_HT,42,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
253,MFH_URB_HT_0_STO_HT,43,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,MFH_URB_HT_1_STO_HT,44,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,MFH_URB_HT_2_STO_HT,45,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
256,MFH_URB_HT_3_STO_HT,46,26,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
257,SFH_RUR_HT_0_STO_HT,47,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,SFH_RUR_HT_1_STO_HT,48,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,SFH_RUR_HT_2_STO_HT,49,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
260,SFH_RUR_HT_3_STO_HT,50,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
261,SFH_SUB_HT_0_STO_HT,51,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
262,SFH_SUB_HT_1_STO_HT,52,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
263,SFH_SUB_HT_2_STO_HT,53,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
264,SFH_SUB_HT_3_STO_HT,54,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
265,SFH_URB_HT_0_STO_HT,55,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
266,SFH_URB_HT_1_STO_HT,56,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
267,SFH_URB_HT_2_STO_HT,57,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
268,SFH_URB_HT_3_STO_HT,58,26,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
269,MFH_RUR_0_DHW_BO,8,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
270,MFH_RUR_1_DHW_BO,9,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
271,MFH_RUR_2_DHW_BO,10,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
272,MFH_RUR_3_DHW_BO,11,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
